state,city,population,lat,lng,median_income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
CA,Reseda,4178.0,,,,,,,,,,
CA,Rialto,103562.0,34.1175,-117.3894,50971.0,19.7,67.4,44.0,16.4,1.1,2.3,67.6
CA,Richmond,110040.0,37.9477,-122.339,55102.0,17.5,77.1,31.4,26.6,0.6,13.5,39.5
CA,Ripon,15677.0,37.7415,-121.1309,80734.0,9.8,90.6,79.7,1.5,0.9,4.2,22.2
CA,Riverbank,24740.0,37.7268,-120.9402,60017.0,12.1,75.8,65.9,2.1,1.2,3.4,52.1
CA,Riverside,2084749.0,33.9381,-117.3948,57196.0,18.8,78.5,56.5,7.0,1.1,7.4,49.0
CA,Rocklin,64838.0,38.8075,-121.2488,80177.0,8.6,95.8,82.6,1.5,0.7,7.2,11.5
CA,Rosamond,20024.0,34.8658,-118.2154,58265.0,18.7,79.9,62.2,8.1,1.2,3.6,34.3
CA,Rosemead,54554.0,34.0688,-118.0823,44906.0,19.3,66.2,21.1,0.5,0.7,60.7,33.8
CA,Roseville,135329.0,38.7691,-121.3178,75867.0,8.8,94.5,79.3,2.0,0.7,8.4,14.6
CA,Sacramento,1854698.0,38.5667,-121.4683,50739.0,22.0,83.4,45.0,14.6,1.1,18.3,26.9
CA,Salinas,193590.0,36.6884,-121.6317,49840.0,20.2,59.5,45.8,2.0,1.3,6.3,75.0
CA,San Bernardino,216995.0,34.1417,-117.2945,37047.0,33.4,68.2,45.6,15.0,1.3,4.0,60.0
CA,San Diego,3210314.0,32.8312,-117.1225,66116.0,15.4,87.3,58.9,6.7,0.6,15.9,28.8
CA,San Diego Country Estates CDP,1000.0,32.8312,-117.1225,100719.0,4.0,96.0,90.1,0.9,0.9,1.5,11.1
CA,San Diego County,4178.0,,,,,,,,,,
CA,San Fernando,24714.0,34.2886,-118.4363,55170.0,18.9,58.5,51.0,0.9,1.3,1.0,92.5
CA,San Francisco,3603761.0,37.7562,-122.443,81294.0,13.2,87.0,48.5,6.1,0.5,33.3,15.1
CA,San Gabriel,40514.0,34.0948,-118.099,51579.0,13.8,78.1,25.4,1.0,0.6,60.7,25.7
CA,San Jose,1821899.0,37.3021,-121.8489,84647.0,11.3,82.7,42.8,3.2,0.9,32.0,33.2
CA,San Leandro,90553.0,37.7071,-122.1601,62761.0,10.6,82.4,37.6,12.3,0.8,29.7,27.4
